"Division","ID","Club","Year_F"
"Italy",47,"Empoli",2018
"Italy",48,"Fiorentina",2018
"Italy",49,"Frosinone",2018
"Italy",50,"Genoa",2018
"Italy",51,"Inter Milan",2018
"Italy",52,"Juventus",2018
"Italy",53,"Lazio",2018
"Italy",54,"Napoli",2018
"Italy",55,"Parma",2018
"Italy",56,"Sampdoria",2018
"Italy",57,"Sassuolo",2018
"Italy",58,"SPAL",2018
"Italy",59,"Torino",2018
"Italy",60,"Udinese",2018
"France",61,"Amiens",2018
"France",62,"Angers",2018
"France",63,"Bordeaux",2018
"France",64,"Caen",2018
"France",65,"Dijon",2018
"France",66,"Guingamp",2018
"France",67,"Lille",2018
"France",68,"Lyon",2018
"France",69,"Marseille",2018
"France",70,"Monaco",2018
"France",71,"Montpellier",2018
"France",72,"Nantes",2018
"France",73,"Nice",2018
"France",74,"Nîmes",2018
"France",75,"Paris S-G",2018
"France",76,"Reims",2018
"France",77,"Rennes",2018
"France",78,"Saint-Etienne",2018
"France",79,"Strasbourg",2018
"France",80,"Toulouse FC",2018
"Germany",81,"Augsburg",2018
"Germany",82,"Bayer Leverkusen",2018
"Germany",83,"Bayern Munich",2018
"Germany",84,"Dortmund",2018
"Germany",85,"M'gladbach",2018
"Germany",86,"Düsseldorf",2018
"Germany",87,"E Francfort",2018
"Germany",88,"Freiburg",2018
"Germany",89,"Hannover 96",2018
"Germany",90,"Hertha Berlin",2018
"Germany",91,"Hoffenheim",2018
"Germany",92,"Mainz",2018
"Germany",93,"FC Nürnberg",2018
"Germany",94,"RB Leipzig",2018
"Germany",95,"Schalke 04",2018
"Germany",96,"Stuttgart",2018
"Germany",97,"Werder Bremen",2018
"Germany",98,"Wolfsburg",2018
"Other",99,"China",2018
"Other",100,"Belgium",2018
"Other",101,"Portugal",2018
"Other",102,"Turkey",2018
"Other",103,"Brazil",2018
"Other",104,"Netherlands",2018
"Other",105,"Argentina",2018
"Other",106,"Switzerland",2018
"Other",107,"Croatia",2018
"Other",108,"Denmark",2018
"Other",109,"Russia",2018
"Other",110,"Austria",2018
"Other",111,"Sweden",2018
"Other",112,"Wales",2018
